round,theme,project,architecture_notes,ecosystem_notes,activity_notes,risk_notes,fit_scenarios,adopt_priority
1,策略与授权中枢,open-policy-agent/opa,通用PDP与Rego策略解耦,生态成熟跨K8s网关CI,高活跃,策略复杂度与性能调优成本,统一策略决策与工具调用门禁,P0
1,策略与授权中枢,open-policy-agent/gatekeeper,K8s准入控制面,OPA生态高复用,高活跃,默认行为变更导致准入漂移,集群合规与高危部署阻断,P0
1,策略与授权中枢,openfga/openfga,关系授权tuple模型,新一代SaaS授权生态增长快,高活跃,模型迁移与tuple膨胀,多租户细粒度授权,P0
1,策略与授权中枢,authzed/spicedb,Zanzibar风格高性能授权图,企业IAM生态认可,中高活跃,运维复杂度较高,高并发权限检查,P1
1,策略与授权中枢,casbin/casbin,轻量嵌入式策略执行,多语言支持广,稳定活跃,跨服务一致性弱,中小规模快速授权落地,P2
1,策略与授权中枢,ory/keto,关系授权服务与Ory协同,Ory生态友好,中等活跃,脱离Ory时协同收益下降,Ory栈权限扩展,P2
1,策略与授权中枢,cedar-policy/cedar,可验证策略语言,高合规场景关注度高,中等活跃,人才与案例储备不足,高审计要求策略治理,P1
1,策略与授权中枢,kyverno/kyverno,K8s原生YAML策略,平台团队上手快,高活跃,规则复杂后维护压力,平台准入与变更后验证,P1
1,策略与授权中枢,semgrep/semgrep,规则驱动静态扫描,开发安全生态强,高活跃,规则噪音与误报,代码侧策略前置门禁,P1
1,策略与授权中枢,falcosecurity/falco,运行时行为检测,云原生安全生态成熟,高活跃,告警风暴与调参成本,沙箱与节点异常检测,P1
2,观测与评测栈,langfuse/langfuse,LLM traces与prompt观测平台,框架连接丰富,高活跃,事件模型变更兼容风险,全链路追踪与回溯,P1
2,观测与评测栈,Arize-ai/phoenix,评测与可观测结合,评测生态成熟,中高活跃,数据治理与部署门槛,模型效果长期监控,P1
2,观测与评测栈,truera/trulens,评测函数与反馈链路核心,评测生态持续扩展,高活跃,API迁移成本,Agent/RAG质量评测,P1
2,观测与评测栈,open-telemetry/opentelemetry-collector,统一遥测采集处理转发,标准生态极强,高活跃,升级breaking与配置漂移,安全与业务事件汇聚,P0
2,观测与评测栈,open-telemetry/opentelemetry-specification,观测语义标准层,跨工具通用标准,高活跃,规范更新与实现差异,统一事件语义与互操作,P0
2,观测与评测栈,promptfoo/promptfoo,评测编排与回归框架,LLM安全评测生态活跃,高活跃,测试集代表性不足,注入/拒绝回归测试,P1
2,观测与评测栈,NVIDIA/garak,红队攻击集执行引擎,安全评测圈认可,高活跃,攻击集与生产偏差,上线前高风险压测,P1
2,观测与评测栈,Giskard-AI/giskard,模型测试与脆弱性评估,质量安全联合生态,中高活跃,企业定制成本,安全+质量联合面板,P2
2,观测与评测栈,guardrails-ai/guardrails,输出结构与策略约束,应用层接入友好,中高活跃,规则漂移与误拒绝,生成结果执行前校验,P1
2,观测与评测栈,NVIDIA-NeMo/Guardrails,对话流与工具调用护栏,多代理场景生态增长,高活跃,配置breaking与运行时变更,复杂Agent流程强约束,P0
3,输入防护,protectai/llm-guard,输入输出扫描器组合,安全网关生态可接入,中等活跃,规则时效与误报,在线入口风险筛查,P1
3,输入防护,protectai/rebuff,Prompt injection防护思路,历史影响力存在,低活跃,维护状态不稳定,防护设计参考与对照实验,P3
3,输入防护,promptfoo/promptfoo,离线回归与对抗测试,评测生态活跃,高活跃,线上攻击差异,持续安全回归,P1
3,输入防护,NVIDIA/garak,红队攻击模板覆盖广,安全评测生态成熟,高活跃,执行成本较高,高价值链路攻防演练,P1
3,输入防护,Azure/PyRIT,体系化对抗测试框架,企业安全测试生态增强,高活跃,API重构迁移复杂,企业级安全基线回归,P0
3,输入防护,liu00222/Open-Prompt-Injection,注入数据集与基准,研究生态可复用,中等活跃,生产贴合需验证,注入样本扩充,P2
3,输入防护,microsoft/BIPIA,间接注入评估基准,研究与工程结合价值高,中高活跃,需自建生产流水线,RAG间接注入回放,P1
3,输入防护,SORRY-Bench/sorry-bench,拒绝行为评测基准,安全评测生态可用,中等活跃,业务迁移成本,拒绝一致性测试,P2
3,输入防护,Giskard-AI/phare,安全评测资产补充,评测生态补位,中等活跃,更新频率不确定,安全回归语料扩展,P2
3,输入防护,superagent-ai/superagent,AI firewall运行形态,新兴生态,中高活跃,版本节奏快兼容波动,网关防护原型与试点,P2
4,执行沙箱与运行隔离,e2b-dev/E2B,可编程沙箱执行平面,开发者生态友好,高活跃,边界配置不当风险,工具执行隔离,P0
4,执行沙箱与运行隔离,alibaba/OpenSandbox,容器隔离执行架构,自托管场景可用,中高活跃,实践沉淀不足,企业内部沙箱执行,P1
4,执行沙箱与运行隔离,abshkbh/arrakis,微虚机隔离思路,生态较小,中等活跃,性能与运维权衡,高敏感执行隔离,P2
4,执行沙箱与运行隔离,SWE-agent/SWE-ReX,并行沙箱评测导向,垂直生态,中等活跃,与通用生产结合成本,大规模修复评测流水线,P2
4,执行沙箱与运行隔离,falcosecurity/falco,运行时异常检测,云原生生态成熟,高活跃,规则调优成本,执行期威胁检测,P1
4,执行沙箱与运行隔离,open-policy-agent/gatekeeper,K8s准入强约束,OPA生态联动,高活跃,误拦与策略冲突,高危Pod阻断,P1
4,执行沙箱与运行隔离,kyverno/kyverno,K8s策略原生化,平台生态易推广,高活跃,复杂策略维护压力,准入与配置守卫,P1
4,执行沙箱与运行隔离,open-policy-agent/opa,跨层统一决策,策略生态强,高活跃,策略复杂与性能,执行面统一策略中心,P0
4,执行沙箱与运行隔离,aquasecurity/trivy,镜像依赖多域扫描,DevSecOps生态成熟,高活跃,漏洞噪音阈值治理,发布前风险拦截,P1
4,执行沙箱与运行隔离,anchore/grype,SBOM/镜像漏洞匹配,与Syft互补,中高活跃,结果基线差异,双扫描交叉验证,P2
5,供应链与制品可信,anchore/syft,SBOM生成证据化,供应链生态成熟,高活跃,上游识别精度依赖,构建产物证据生成,P0
5,供应链与制品可信,anchore/grype,漏洞匹配与分级,SBOM生态互补,中高活跃,误报漏报平衡,发布前漏洞门禁,P1
5,供应链与制品可信,aquasecurity/trivy,多域扫描统一入口,DevSecOps生态广,高活跃,规则阈值配置风险,依赖/镜像/IaC扫描,P1
5,供应链与制品可信,google/osv-scanner,开源漏洞库驱动扫描,轻量生态良好,中高活跃,生态覆盖差异,依赖风险补充扫描,P2
5,供应链与制品可信,sigstore/cosign,制品签名与验签,供应链生态领先,高活跃,密钥与流程治理风险,部署前签名校验,P0
5,供应链与制品可信,in-toto/in-toto,供应链证明链路,高合规生态认可,中等活跃,落地复杂度高,关键流水线可追溯证明,P1
5,供应链与制品可信,slsa-framework/slsa,供应链成熟度框架,标准生态广,中等活跃,形式达标不等于实效,路线图与治理分级,P1
5,供应链与制品可信,semgrep/semgrep,源代码策略扫描,开发安全生态强,高活跃,规则噪音,源头风险前移拦截,P1
5,供应链与制品可信,gitleaks/gitleaks,secret泄露扫描,CI生态成熟,高活跃,历史仓库噪音,凭据泄露防线,P1
5,供应链与制品可信,open-policy-agent/opa,证据到策略放行中枢,策略生态成熟,高活跃,策略管理复杂,证据驱动部署准入,P0
6,工具调用安全,open-policy-agent/opa,统一前置授权决策,跨系统生态成熟,高活跃,策略性能调优,工具调用前置PDP,P0
6,工具调用安全,openfga/openfga,主体资源关系授权图,授权生态增长快,高活跃,模型演进治理,工具资源细粒度权限,P0
6,工具调用安全,authzed/spicedb,高并发关系授权,企业IAM认可,中高活跃,运维与成本压力,高并发工具授权检查,P1
6,工具调用安全,casbin/casbin,轻量策略嵌入,多语言生态广,稳定活跃,跨服务一致性弱,单服务快速工具权限,P2
6,工具调用安全,cedar-policy/cedar,可审计策略语言,合规生态可用,中等活跃,资料与人才较少,高审计工具授权,P1
6,工具调用安全,open-policy-agent/gatekeeper,基础设施准入边界,OPA生态联动,高活跃,误拦风险,集群层工具执行边界,P1
6,工具调用安全,kyverno/kyverno,YAML原生准入策略,K8s生态活跃,高活跃,规则复杂维护,平台侧执行约束,P1
6,工具调用安全,NVIDIA-NeMo/Guardrails,会话与工具语义约束,Agent生态增长,高活跃,配置迁移风险,工具语义层护栏,P1
6,工具调用安全,guardrails-ai/guardrails,结构化参数校验,应用层生态友好,中高活跃,复杂规则表达受限,工具参数执行前校验,P1
6,工具调用安全,semgrep/semgrep,危险调用模式静态识别,开发生态成熟,高活跃,规则维护成本,代码层高危调用拦截,P2
7,数据与隐私防线,microsoft/presidio,PII识别与脱敏引擎,隐私治理生态成熟,高活跃,规则维护和语言覆盖,输入输出隐私防护,P0
7,数据与隐私防线,NVIDIA-NeMo/Guardrails,集成GLiNER等隐私能力,Guardrails生态持续增长,高活跃,版本变化与配置演进,对话链路PII防护,P1
7,数据与隐私防线,gitleaks/gitleaks,secrets泄露扫描,CI生态成熟,高活跃,误报治理成本,代码与仓库泄露防线,P1
7,数据与隐私防线,semgrep/semgrep,数据流与危险模式检查,开发安全生态强,高活跃,规则噪音,数据泄露模式发现,P1
7,数据与隐私防线,open-telemetry/opentelemetry-collector,统一审计事件采集,标准生态强,高活跃,字段漂移与性能负担,隐私审计事件汇聚,P1
7,数据与隐私防线,langfuse/langfuse,LLM调用追踪与分析,应用生态丰富,高活跃,日志脱敏不当风险,可观测与回溯,P1
7,数据与隐私防线,Arize-ai/phoenix,评测分析可视化,评测生态成熟,中高活跃,数据治理门槛,隐私与质量联合评估,P2
7,数据与隐私防线,truera/trulens,评测指标与反馈链路,评测生态活跃,高活跃,API迁移成本,隐私相关评测规则,P2
7,数据与隐私防线,guardrails-ai/guardrails,输出前敏感校验,应用层生态友好,中高活跃,误拒绝平衡,输出安全兜底,P1
7,数据与隐私防线,promptfoo/promptfoo,隐私攻击样本回归,评测生态活跃,高活跃,样本覆盖不足,隐私回归基线测试,P2
8,K8s控制面治理,open-policy-agent/gatekeeper,准入策略主控,OPA生态成熟,高活跃,默认行为变化风险,集群准入治理,P0
8,K8s控制面治理,kyverno/kyverno,原生YAML策略引擎,K8s平台生态强,高活跃,复杂策略维护成本,平台侧快速准入政策,P1
8,K8s控制面治理,open-policy-agent/opa,跨系统策略中枢,策略生态广,高活跃,策略复杂度,统一策略编排,P1
8,K8s控制面治理,falcosecurity/falco,运行时检测层,云原生安全生态成熟,高活跃,告警噪音,运行时威胁发现,P1
8,K8s控制面治理,aquasecurity/trivy,制品扫描入口,DevSecOps生态广,高活跃,漏洞噪声阈值,镜像与IaC扫描,P1
8,K8s控制面治理,anchore/grype,漏洞匹配补位,SBOM生态互补,中高活跃,结果漂移,漏洞交叉验证,P2
8,K8s控制面治理,sigstore/cosign,签名验签门禁,供应链生态成熟,高活跃,密钥治理风险,制品可信校验,P0
8,K8s控制面治理,open-telemetry/opentelemetry-collector,事件汇聚与导出,观测标准生态强,高活跃,升级兼容风险,审计证据汇聚,P1
8,K8s控制面治理,semgrep/semgrep,IaC与代码前置检查,开发生态成熟,高活跃,规则维护,发布前静态门禁,P2
8,K8s控制面治理,open-telemetry/opentelemetry-specification,语义规范底座,跨工具标准生态,高活跃,规范变更同步成本,治理语义统一,P1
9,红队与攻防演练,Azure/PyRIT,体系化对抗测试编排,企业安全测试生态增强,高活跃,升级迁移成本高,高价值链路红队回归,P0
9,红队与攻防演练,NVIDIA/garak,攻击模板丰富,安全评测生态成熟,高活跃,与生产差距,攻击面发现,P1
9,红队与攻防演练,promptfoo/promptfoo,回归测试自动化,评测生态活跃,高活跃,样本覆盖风险,持续安全回归,P1
9,红队与攻防演练,microsoft/BIPIA,间接注入专项评估,研究工程价值高,中高活跃,生产化链路需自建,RAG间接注入评测,P1
9,红队与攻防演练,liu00222/Open-Prompt-Injection,注入语料补充,研究生态可复用,中等活跃,业务贴合度,注入数据集扩展,P2
9,红队与攻防演练,SORRY-Bench/sorry-bench,拒绝行为测试集,安全评测生态,中等活跃,场景迁移成本,拒绝一致性回归,P2
9,红队与攻防演练,Giskard-AI/phare,安全评测资产,评测补位生态,中等活跃,更新不稳定,安全基线补充,P2
9,红队与攻防演练,Giskard-AI/giskard,测试与漏洞评估,质量安全联合生态,中高活跃,定制化成本,综合评测分析,P2
9,红队与攻防演练,NVIDIA-NeMo/Guardrails,把演练转规则执行,Agent护栏生态增长,高活跃,配置迁移风险,在线策略承接,P1
9,红队与攻防演练,protectai/llm-guard,在线拦截与扫描,网关防护生态可接,中等活跃,规则漂移,在线防护落地,P1
10,研发流程集成,semgrep/semgrep,代码策略扫描门禁,开发安全生态成熟,高活跃,规则噪声,源码阶段风险前移,P1
10,研发流程集成,gitleaks/gitleaks,secret扫描门禁,CI生态成熟,高活跃,误报治理,凭据泄露阻断,P1
10,研发流程集成,aquasecurity/trivy,依赖镜像IaC扫描,DevSecOps生态强,高活跃,阈值配置风险,构建发布门禁,P1
10,研发流程集成,google/osv-scanner,依赖漏洞补充,轻量生态可接,中高活跃,覆盖差异,依赖风险补充检查,P2
10,研发流程集成,anchore/syft,SBOM证据输出,供应链生态成熟,高活跃,识别精度依赖,制品证据化,P0
10,研发流程集成,anchore/grype,SBOM漏洞匹配,与Syft互补,中高活跃,结果差异,发布前漏洞判定,P1
10,研发流程集成,sigstore/cosign,签名验签,供应链生态成熟,高活跃,密钥流程风险,部署前可信校验,P0
10,研发流程集成,open-policy-agent/opa,证据到放行策略,策略生态广,高活跃,规则治理复杂,统一放行决策,P0
10,研发流程集成,promptfoo/promptfoo,安全回归自动化,评测生态活跃,高活跃,样本代表性,发布前行为回归,P1
10,研发流程集成,langfuse/langfuse,上线后追踪与回放,LLM可观测生态活跃,高活跃,日志治理风险,上线后效果追踪,P1
11,多租户权限边界,openfga/openfga,关系授权模型清晰,授权生态增长快,高活跃,模型迁移风险,多租户细粒度访问控制,P0
11,多租户权限边界,authzed/spicedb,Zanzibar授权图高性能,企业IAM生态成熟,中高活跃,运维复杂度,高并发权限决策,P1
11,多租户权限边界,open-policy-agent/opa,统一策略决策层,策略生态成熟,高活跃,策略复杂与性能,跨系统权限合成决策,P0
11,多租户权限边界,casbin/casbin,嵌入式授权执行,多语言生态广,稳定活跃,一致性与审计弱,服务内快速权限实现,P2
11,多租户权限边界,ory/keto,关系授权服务,Ory生态协同,中等活跃,生态绑定性,身份平台扩展授权,P2
11,多租户权限边界,cedar-policy/cedar,可审计策略语言,合规生态可用,中等活跃,资料与人才不足,高合规授权治理,P1
11,多租户权限边界,open-policy-agent/gatekeeper,平台准入边界控制,OPA联动生态,高活跃,误拦和漂移,集群侧权限边界,P1
11,多租户权限边界,kyverno/kyverno,YAML准入策略,平台生态强,高活跃,规则维护,平台层策略执行,P1
11,多租户权限边界,falcosecurity/falco,运行期越界检测,云原生安全生态成熟,高活跃,告警噪音,运行时越权监测,P1
11,多租户权限边界,open-telemetry/opentelemetry-collector,统一审计链路,观测生态强,高活跃,兼容升级风险,权限决策可追溯,P1
12,稳定性与升级风险,open-telemetry/opentelemetry-collector,观测管道核心组件,生态极强,高活跃,breaking升级频繁,遥测主干组件治理,P0
12,稳定性与升级风险,open-policy-agent/gatekeeper,准入策略核心,OPA生态强,高活跃,默认行为变更风险,集群准入稳定治理,P0
12,稳定性与升级风险,NVIDIA-NeMo/Guardrails,Agent护栏中枢,护栏生态增长,高活跃,配置breaking风险,多代理安全约束,P0
12,稳定性与升级风险,Azure/PyRIT,安全评测主干,企业评测生态增强,高活跃,API重构迁移重,安全回归流水线,P0
12,稳定性与升级风险,truera/trulens,评测指标平台,评测生态活跃,高活跃,API迁移成本,质量安全评测稳定性,P1
12,稳定性与升级风险,semgrep/semgrep,开发安全门禁,生态成熟,高活跃,集成协议变化风险,CI稳定性保障,P1
12,稳定性与升级风险,openfga/openfga,授权模型核心,授权生态增长快,高活跃,模型漂移风险,权限稳定控制,P1
12,稳定性与升级风险,authzed/spicedb,高并发授权服务,企业生态认可,中高活跃,运维复杂,授权稳定运行,P1
12,稳定性与升级风险,kyverno/kyverno,准入策略执行,平台生态活跃,高活跃,策略误拦风险,平台治理稳定性,P1
12,稳定性与升级风险,langfuse/langfuse,观测平台接口层,LLM生态活跃,高活跃,字段兼容风险,运营稳定追踪,P2
13,RAG链路安全,microsoft/BIPIA,间接注入评估核心,研究工程双用,中高活跃,生产化改造成本,RAG间接注入回放,P1
13,RAG链路安全,promptfoo/promptfoo,回归编排自动化,评测生态活跃,高活跃,样本不足风险,RAG安全回归,P1
13,RAG链路安全,Azure/PyRIT,复杂对抗链路评估,企业评测生态,高活跃,迁移复杂,RAG高风险场景评测,P0
13,RAG链路安全,protectai/llm-guard,入口扫描护栏,网关防护生态,中等活跃,规则漂移,检索输入前置筛查,P1
13,RAG链路安全,guardrails-ai/guardrails,输出与结构约束,应用生态友好,中高活跃,误拒绝平衡,RAG输出执行前校验,P1
13,RAG链路安全,NVIDIA-NeMo/Guardrails,流程与工具护栏,多代理生态增长,高活跃,配置迁移风险,RAG对话与工具约束,P1
13,RAG链路安全,open-policy-agent/opa,风险联动策略决策,策略生态成熟,高活跃,复杂度管理,高风险输入动态收权,P0
13,RAG链路安全,openfga/openfga,检索资源关系授权,授权生态活跃,高活跃,模型迁移,文档与工具资源权限,P1
13,RAG链路安全,langfuse/langfuse,链路可观测,LLM生态活跃,高活跃,日志治理风险,RAG全链路追踪,P1
13,RAG链路安全,open-telemetry/opentelemetry-collector,事件汇聚标准化,观测生态强,高活跃,升级兼容风险,RAG审计证据链,P1
14,输出安全与执行前校验,guardrails-ai/guardrails,结构化输出校验,应用层生态成熟,中高活跃,误拒绝成本,执行前结构与规则校验,P1
14,输出安全与执行前校验,NVIDIA-NeMo/Guardrails,对话流程与输出护栏,多代理生态增长,高活跃,配置breaking风险,复杂输出策略约束,P1
14,输出安全与执行前校验,microsoft/presidio,PII检测脱敏,隐私生态成熟,高活跃,语言覆盖治理,敏感信息输出拦截,P0
14,输出安全与执行前校验,gitleaks/gitleaks,secret模式检测,CI生态成熟,高活跃,误报管理,密钥外泄阻断,P1
14,输出安全与执行前校验,semgrep/semgrep,生成代码安全检查,开发生态成熟,高活跃,规则噪音,可执行代码风险扫描,P1
14,输出安全与执行前校验,aquasecurity/trivy,依赖镜像风险补检,DevSecOps生态强,高活跃,阈值调整风险,执行产物安全补检,P1
14,输出安全与执行前校验,open-policy-agent/opa,多校验结果汇总放行,策略生态成熟,高活跃,策略复杂,最终放行决策,P0
14,输出安全与执行前校验,promptfoo/promptfoo,拒绝策略回归,评测生态活跃,高活跃,样本覆盖不足,输出行为一致性回归,P2
14,输出安全与执行前校验,Giskard-AI/giskard,综合安全质量评测,联合评测生态,中高活跃,定制成本,上线前评测补位,P2
14,输出安全与执行前校验,truera/trulens,输出质量指标评估,评测生态活跃,高活跃,API迁移风险,输出质量稳定性评估,P2
15,审计与事件链路,open-telemetry/opentelemetry-specification,语义标准基线,跨工具标准生态,高活跃,规范更新同步成本,事件语义统一,P0
15,审计与事件链路,open-telemetry/opentelemetry-collector,统一采集处理导出,观测生态强,高活跃,配置升级风险,审计链路汇聚,P0
15,审计与事件链路,langfuse/langfuse,LLM事件可视化,应用生态丰富,高活跃,日志隐私风险,提示词与调用回放,P1
15,审计与事件链路,Arize-ai/phoenix,评测观测联动,评测生态成熟,中高活跃,部署复杂,质量安全分析,P2
15,审计与事件链路,truera/trulens,指标评估链路,评测生态活跃,高活跃,接口演进风险,评测证据沉淀,P2
15,审计与事件链路,falcosecurity/falco,运行时安全事件源,云原生安全生态成熟,高活跃,告警噪音,主机与容器异常审计,P1
15,审计与事件链路,open-policy-agent/gatekeeper,准入决策事件源,OPA生态联动,高活跃,策略漂移风险,准入审计追踪,P1
15,审计与事件链路,open-policy-agent/opa,策略决策日志源,策略生态成熟,高活跃,性能开销,决策可解释与追责,P0
15,审计与事件链路,openfga/openfga,授权决策轨迹,授权生态增长,高活跃,模型漂移,关系授权审计,P1
15,审计与事件链路,sigstore/cosign,制品签名审计证据,供应链生态成熟,高活跃,密钥治理,发布可信追溯,P1
16,生态成熟度,open-policy-agent/opa,通用策略基座,生态成熟案例多,高活跃,策略复杂治理,平台底座优选,P0
16,生态成熟度,open-policy-agent/gatekeeper,K8s准入成熟方案,OPA生态协同强,高活跃,默认行为变更,集群治理优选,P0
16,生态成熟度,kyverno/kyverno,原生策略易推广,平台生态活跃,高活跃,复杂规则维护,平台团队快速落地,P1
16,生态成熟度,semgrep/semgrep,开发侧普及度高,规则生态丰富,高活跃,规则噪音,开发安全基础设施,P1
16,生态成熟度,aquasecurity/trivy,扫描标配方案,DevSecOps生态成熟,高活跃,阈值策略风险,统一扫描入口,P1
16,生态成熟度,sigstore/cosign,签名生态事实标准,供应链生态成熟,高活跃,密钥流程治理,制品可信底座,P0
16,生态成熟度,open-telemetry/opentelemetry-collector,观测标准化落地核心,OTel生态强,高活跃,升级兼容,遥测底座,P0
16,生态成熟度,openfga/openfga,关系授权增长快,新生态强势,高活跃,模型治理,细粒度授权底座,P1
16,生态成熟度,authzed/spicedb,企业级授权图,生态认可度高,中高活跃,运维复杂,高并发授权场景,P1
16,生态成熟度,langfuse/langfuse,LLM观测新兴成熟化,应用生态增长快,高活跃,日志治理风险,LLM运营观测,P2
17,实施复杂度,casbin/casbin,接入轻量,生态广泛,稳定活跃,跨服务一致性,快速起步权限控制,P2
17,实施复杂度,open-policy-agent/opa,中高复杂但收益大,策略生态成熟,高活跃,策略工程能力要求高,统一策略治理,P0
17,实施复杂度,openfga/openfga,模型设计复杂,授权生态增长,高活跃,迁移与治理成本,长期细粒度授权,P1
17,实施复杂度,authzed/spicedb,运维复杂度更高,企业生态认可,中高活跃,基础设施成本,高并发授权平台,P1
17,实施复杂度,open-policy-agent/gatekeeper,K8s团队易上手,准入生态成熟,高活跃,误拦治理,集群准入快速上线,P1
17,实施复杂度,kyverno/kyverno,策略表达直观,平台生态活跃,高活跃,规则规模化治理,平台准入扩展,P1
17,实施复杂度,NVIDIA-NeMo/Guardrails,配置与调优复杂,护栏生态增长,高活跃,breaking迁移,复杂Agent护栏,P1
17,实施复杂度,promptfoo/promptfoo,CI集成门槛低,评测生态活跃,高活跃,样本维护成本,安全回归快速接入,P2
17,实施复杂度,anchore/syft,实施简单稳定,供应链生态成熟,高活跃,产物识别边界,SBOM快速落地,P1
17,实施复杂度,sigstore/cosign,工具易用流程难,供应链生态成熟,高活跃,密钥与流程治理,发布签名门禁,P0
18,风险暴露面,Azure/PyRIT,评测框架核心依赖,企业生态增强,高活跃,API重构暴露面,红队回归主干,P0
18,风险暴露面,NVIDIA-NeMo/Guardrails,护栏关键控制点,多代理生态增长,高活跃,配置变更外溢,对话与工具安全控制,P0
18,风险暴露面,open-telemetry/opentelemetry-collector,遥测主干高耦合,观测生态强,高活跃,升级导致链路抖动,审计与监控汇聚,P0
18,风险暴露面,open-policy-agent/gatekeeper,准入关键点,OPA生态强,高活跃,默认值变更外溢,集群准入基线,P0
18,风险暴露面,semgrep/semgrep,CI门禁关键工具,开发生态成熟,高活跃,协议/规则变更,发布前代码门禁,P1
18,风险暴露面,openfga/openfga,授权模型核心,授权生态增长,高活跃,模型漂移外溢,多租户授权边界,P1
18,风险暴露面,authzed/spicedb,授权服务核心,企业生态认可,中高活跃,性能与一致性外溢,高并发授权决策,P1
18,风险暴露面,falcosecurity/falco,运行时检测关键,云原生安全生态成熟,高活跃,告警噪音外溢,运行时威胁响应,P1
18,风险暴露面,aquasecurity/trivy,扫描结果影响放行,DevSecOps生态强,高活跃,情报变化外溢,构建发布风险评估,P1
18,风险暴露面,langfuse/langfuse,观测入口关键,LLM生态活跃,高活跃,字段/隐私外溢,运营与事故回放,P2
19,适用场景细分,openfga/openfga,关系授权最匹配复杂边界,授权生态增长快,高活跃,模型迁移风险,跨租户细粒度授权,P0
19,适用场景细分,open-policy-agent/opa,统一策略决策最优,策略生态成熟,高活跃,策略复杂治理,跨系统策略中枢,P0
19,适用场景细分,open-policy-agent/gatekeeper,准入治理场景强,K8s生态成熟,高活跃,准入漂移风险,集群合规与阻断,P1
19,适用场景细分,kyverno/kyverno,平台策略推广高效,K8s生态活跃,高活跃,复杂规则维护,平台准入与策略落地,P1
19,适用场景细分,NVIDIA-NeMo/Guardrails,多代理护栏场景强,Agent生态增长,高活跃,配置breaking,对话与工具约束,P1
19,适用场景细分,promptfoo/promptfoo,回归场景覆盖广,评测生态活跃,高活跃,样本覆盖成本,安全回归流水线,P1
19,适用场景细分,Azure/PyRIT,深度攻防场景突出,企业评测生态增强,高活跃,迁移复杂,高级红队评测,P0
19,适用场景细分,aquasecurity/trivy,扫描场景通用性强,DevSecOps生态成熟,高活跃,阈值误判,统一扫描入口,P1
19,适用场景细分,sigstore/cosign,签名场景关键,供应链生态成熟,高活跃,密钥治理风险,发布可信门禁,P0
19,适用场景细分,open-telemetry/opentelemetry-collector,审计汇聚场景关键,观测生态强,高活跃,升级兼容风险,跨域事件汇聚,P1
20,综合推荐组合,open-policy-agent/opa,策略中枢核心组件,生态成熟跨域复用,高活跃,策略治理复杂,统一决策与放行,P0
20,综合推荐组合,openfga/openfga,关系授权核心组件,授权生态增长快,高活跃,模型演进风险,多租户资源边界,P0
20,综合推荐组合,open-policy-agent/gatekeeper,基础设施准入主控,K8s生态成熟,高活跃,默认行为变更风险,集群准入硬门槛,P0
20,综合推荐组合,e2b-dev/E2B,执行隔离关键组件,沙箱生态增长,高活跃,边界配置风险,工具执行沙箱,P1
20,综合推荐组合,falcosecurity/falco,运行时检测关键组件,云原生安全生态成熟,高活跃,告警噪音风险,运行时威胁响应,P1
20,综合推荐组合,anchore/syft,SBOM证据关键组件,供应链生态成熟,高活跃,识别边界风险,制品证据生成,P1
20,综合推荐组合,sigstore/cosign,签名可信关键组件,供应链生态成熟,高活跃,密钥流程风险,发布前验签门禁,P0
20,综合推荐组合,promptfoo/promptfoo,回归自动化关键组件,评测生态活跃,高活跃,样本维护风险,上线前安全回归,P1
20,综合推荐组合,NVIDIA-NeMo/Guardrails,语义护栏关键组件,Agent生态增长,高活跃,配置breaking,输出与工具约束,P1
20,综合推荐组合,open-telemetry/opentelemetry-collector,审计追踪关键组件,观测生态强,高活跃,升级兼容风险,统一事件证据链,P0
