repo,items_read,failure_type,trigger_condition,root_cause,fix_method,reproducible,source_url
langfuse/langfuse,50,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",yes,https://github.com/langfuse/langfuse/issues/11738
langfuse/langfuse,50,observability_tracing_gap,New runtime/tool path shipped without instrumentation hooks.,Instrumentation coverage is incomplete across gateway/runtime/tool hops.,Enforce trace_id propagation and add span coverage checks in CI.,yes,https://github.com/langfuse/langfuse/issues/12401
langfuse/langfuse,50,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,yes,https://github.com/langfuse/langfuse/issues/12401
langfuse/langfuse,50,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,yes,https://github.com/langfuse/langfuse/issues/11738
openai/evals,50,evaluation_metric_mismatch,Benchmark updates or business KPI changes without metric recalibration.,Metric definition differs from business objective or dataset labeling quality.,Align metric definitions with product KPIs and refresh labeled datasets.,partial,https://github.com/openai/evals/issues/1629
openai/evals,50,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/openai/evals/issues/1629
openai/evals,50,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",yes,https://github.com/openai/evals/issues/1629
openai/evals,50,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/openai/evals/issues/1576
openai/simple-evals,30,evaluation_metric_mismatch,Benchmark updates or business KPI changes without metric recalibration.,Metric definition differs from business objective or dataset labeling quality.,Align metric definitions with product KPIs and refresh labeled datasets.,partial,https://github.com/openai/simple-evals/issues/103
openai/simple-evals,30,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/openai/simple-evals/issues/103
openai/simple-evals,30,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/openai/simple-evals/issues/103
openai/simple-evals,30,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/openai/simple-evals/issues/103
huggingface/lighteval,30,evaluation_metric_mismatch,Benchmark updates or business KPI changes without metric recalibration.,Metric definition differs from business objective or dataset labeling quality.,Align metric definitions with product KPIs and refresh labeled datasets.,yes,https://github.com/huggingface/lighteval/issues/1167
huggingface/lighteval,30,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",yes,https://github.com/huggingface/lighteval/issues/1167
huggingface/lighteval,30,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,yes,https://github.com/huggingface/lighteval/issues/1170
huggingface/lighteval,30,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,yes,https://github.com/huggingface/lighteval/issues/1164
truera/trulens,50,evaluation_metric_mismatch,Benchmark updates or business KPI changes without metric recalibration.,Metric definition differs from business objective or dataset labeling quality.,Align metric definitions with product KPIs and refresh labeled datasets.,yes,https://github.com/truera/trulens/issues/2355
truera/trulens,50,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",yes,https://github.com/truera/trulens/issues/2366
truera/trulens,50,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,yes,https://github.com/truera/trulens/issues/2366
truera/trulens,50,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,yes,https://github.com/truera/trulens/issues/2366
Agenta-AI/agenta,42,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/Agenta-AI/agenta/issues/3892
Agenta-AI/agenta,42,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/Agenta-AI/agenta/issues/3169
Agenta-AI/agenta,42,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,partial,https://github.com/Agenta-AI/agenta/issues/3169
Agenta-AI/agenta,42,install_build_failure,Fresh environment bootstrap or CI image change.,Local build chain or platform prerequisites do not match project assumptions.,"Document platform prerequisites, provide reproducible setup scripts, and prebuilt artifacts.",partial,https://github.com/Agenta-AI/agenta/issues/3169
comet-ml/opik,26,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,partial,https://github.com/comet-ml/opik/issues/5524
comet-ml/opik,26,observability_tracing_gap,New runtime/tool path shipped without instrumentation hooks.,Instrumentation coverage is incomplete across gateway/runtime/tool hops.,Enforce trace_id propagation and add span coverage checks in CI.,partial,https://github.com/comet-ml/opik/issues/5524
comet-ml/opik,26,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/comet-ml/opik/issues/5551
comet-ml/opik,26,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/comet-ml/opik/issues/5551
confident-ai/deepeval,50,evaluation_metric_mismatch,Benchmark updates or business KPI changes without metric recalibration.,Metric definition differs from business objective or dataset labeling quality.,Align metric definitions with product KPIs and refresh labeled datasets.,partial,https://github.com/confident-ai/deepeval/issues/2512
confident-ai/deepeval,50,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/confident-ai/deepeval/issues/2531
confident-ai/deepeval,50,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,partial,https://github.com/confident-ai/deepeval/issues/2216
confident-ai/deepeval,50,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,partial,https://github.com/confident-ai/deepeval/issues/2531
promptfoo/promptfoo,20,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,yes,https://github.com/promptfoo/promptfoo/issues/7322
promptfoo/promptfoo,20,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",yes,https://github.com/promptfoo/promptfoo/issues/7322
promptfoo/promptfoo,20,evaluation_metric_mismatch,Benchmark updates or business KPI changes without metric recalibration.,Metric definition differs from business objective or dataset labeling quality.,Align metric definitions with product KPIs and refresh labeled datasets.,yes,https://github.com/promptfoo/promptfoo/issues/7322
promptfoo/promptfoo,20,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/promptfoo/promptfoo/issues/8044
Arize-ai/phoenix,50,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/Arize-ai/phoenix/issues/11288
Arize-ai/phoenix,50,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/Arize-ai/phoenix/issues/11953
Arize-ai/phoenix,50,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/Arize-ai/phoenix/issues/11925
Arize-ai/phoenix,50,evaluation_metric_mismatch,Benchmark updates or business KPI changes without metric recalibration.,Metric definition differs from business objective or dataset labeling quality.,Align metric definitions with product KPIs and refresh labeled datasets.,partial,https://github.com/Arize-ai/phoenix/issues/11557
Helicone/helicone,39,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/Helicone/helicone/issues/5629
Helicone/helicone,39,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/Helicone/helicone/issues/5629
Helicone/helicone,39,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,partial,https://github.com/Helicone/helicone/issues/5629
Helicone/helicone,39,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,partial,https://github.com/Helicone/helicone/issues/5597
mlflow/mlflow,50,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/mlflow/mlflow/issues/21466
mlflow/mlflow,50,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/mlflow/mlflow/issues/19428
mlflow/mlflow,50,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/mlflow/mlflow/issues/21466
mlflow/mlflow,50,evaluation_metric_mismatch,Benchmark updates or business KPI changes without metric recalibration.,Metric definition differs from business objective or dataset labeling quality.,Align metric definitions with product KPIs and refresh labeled datasets.,yes,https://github.com/mlflow/mlflow/issues/20927
pydantic/logfire,26,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/pydantic/logfire/issues/1726
pydantic/logfire,26,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/pydantic/logfire/issues/1753
pydantic/logfire,26,observability_tracing_gap,New runtime/tool path shipped without instrumentation hooks.,Instrumentation coverage is incomplete across gateway/runtime/tool hops.,Enforce trace_id propagation and add span coverage checks in CI.,partial,https://github.com/pydantic/logfire/issues/1726
pydantic/logfire,26,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,partial,https://github.com/pydantic/logfire/issues/1726
lmnr-ai/lmnr,31,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,partial,https://github.com/lmnr-ai/lmnr/issues/1182
lmnr-ai/lmnr,31,observability_tracing_gap,New runtime/tool path shipped without instrumentation hooks.,Instrumentation coverage is incomplete across gateway/runtime/tool hops.,Enforce trace_id propagation and add span coverage checks in CI.,partial,https://github.com/lmnr-ai/lmnr/issues/1182
lmnr-ai/lmnr,31,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/lmnr-ai/lmnr/issues/1299
lmnr-ai/lmnr,31,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,partial,https://github.com/lmnr-ai/lmnr/issues/1182
pezzolabs/pezzo,38,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,yes,https://github.com/pezzolabs/pezzo/issues/337
pezzolabs/pezzo,38,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",yes,https://github.com/pezzolabs/pezzo/issues/337
pezzolabs/pezzo,38,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/pezzolabs/pezzo/issues/343
pezzolabs/pezzo,38,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,yes,https://github.com/pezzolabs/pezzo/issues/335
BerriAI/litellm,49,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/BerriAI/litellm/issues/23134
BerriAI/litellm,49,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/BerriAI/litellm/issues/23134
BerriAI/litellm,49,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,yes,https://github.com/BerriAI/litellm/issues/23134
BerriAI/litellm,49,network_ssl_proxy,"Corporate proxy, regional network instability, or TLS certificate mismatch.","Network path, TLS trust chain, or proxy configuration interrupts requests.",Harden timeout/retry policies and document proxy/CA configuration explicitly.,partial,https://github.com/BerriAI/litellm/issues/21314
langchain-ai/langchain,33,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/langchain-ai/langchain/issues/35574
langchain-ai/langchain,33,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/langchain-ai/langchain/issues/35574
langchain-ai/langchain,33,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,partial,https://github.com/langchain-ai/langchain/issues/35574
langchain-ai/langchain,33,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/langchain-ai/langchain/issues/35574
langchain-ai/langgraph,21,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,partial,https://github.com/langchain-ai/langgraph/issues/6929
langchain-ai/langgraph,21,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/langchain-ai/langgraph/issues/6929
langchain-ai/langgraph,21,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/langchain-ai/langgraph/issues/6929
langchain-ai/langgraph,21,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/langchain-ai/langgraph/issues/6929
openlit/openlit,50,observability_tracing_gap,New runtime/tool path shipped without instrumentation hooks.,Instrumentation coverage is incomplete across gateway/runtime/tool hops.,Enforce trace_id propagation and add span coverage checks in CI.,partial,https://github.com/openlit/openlit/issues/1042
openlit/openlit,50,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/openlit/openlit/issues/1034
openlit/openlit,50,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/openlit/openlit/issues/1027
openlit/openlit,50,evaluation_metric_mismatch,Benchmark updates or business KPI changes without metric recalibration.,Metric definition differs from business objective or dataset labeling quality.,Align metric definitions with product KPIs and refresh labeled datasets.,partial,https://github.com/openlit/openlit/issues/1042
vibrantlabsai/ragas,30,rag_retrieval_quality,"Noisy corpus, poor chunking, or embedding/model mismatch.",Retriever/chunking/embedding strategy is misaligned with query and corpus.,"Tune chunking and rerankers, add retrieval eval set, and monitor context precision/recall.",partial,https://github.com/vibrantlabsai/ragas/issues/2629
vibrantlabsai/ragas,30,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/vibrantlabsai/ragas/issues/2627
vibrantlabsai/ragas,30,evaluation_metric_mismatch,Benchmark updates or business KPI changes without metric recalibration.,Metric definition differs from business objective or dataset labeling quality.,Align metric definitions with product KPIs and refresh labeled datasets.,partial,https://github.com/vibrantlabsai/ragas/issues/2626
vibrantlabsai/ragas,30,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",yes,https://github.com/vibrantlabsai/ragas/issues/2627
Giskard-AI/giskard-oss,50,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/Giskard-AI/giskard-oss/issues/2290
