repo,items_read,failure_type,trigger_condition,root_cause,fix_method,reproducible,source_url
Giskard-AI/giskard-oss,50,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,partial,https://github.com/Giskard-AI/giskard-oss/issues/2290
Giskard-AI/giskard-oss,50,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/Giskard-AI/giskard-oss/issues/2290
Giskard-AI/giskard-oss,50,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/Giskard-AI/giskard-oss/issues/2290
whylabs/langkit,23,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/whylabs/langkit/issues/320
whylabs/langkit,23,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/whylabs/langkit/issues/323
whylabs/langkit,23,rag_retrieval_quality,"Noisy corpus, poor chunking, or embedding/model mismatch.",Retriever/chunking/embedding strategy is misaligned with query and corpus.,"Tune chunking and rerankers, add retrieval eval set, and monitor context precision/recall.",partial,https://github.com/whylabs/langkit/issues/323
whylabs/langkit,23,install_build_failure,Fresh environment bootstrap or CI image change.,Local build chain or platform prerequisites do not match project assumptions.,"Document platform prerequisites, provide reproducible setup scripts, and prebuilt artifacts.",partial,https://github.com/whylabs/langkit/issues/323
microsoft/prompty,41,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/microsoft/prompty/issues/278
microsoft/prompty,41,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/microsoft/prompty/issues/278
microsoft/prompty,41,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,partial,https://github.com/microsoft/prompty/issues/252
microsoft/prompty,41,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/microsoft/prompty/issues/262
microsoft/promptflow,50,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/microsoft/promptflow/issues/4070
microsoft/promptflow,50,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",yes,https://github.com/microsoft/promptflow/issues/4064
microsoft/promptflow,50,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/microsoft/promptflow/issues/3931
microsoft/promptflow,50,install_build_failure,Fresh environment bootstrap or CI image change.,Local build chain or platform prerequisites do not match project assumptions.,"Document platform prerequisites, provide reproducible setup scripts, and prebuilt artifacts.",yes,https://github.com/microsoft/promptflow/issues/4064
NVIDIA-NeMo/Guardrails,50,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/NVIDIA-NeMo/Guardrails/issues/1700
NVIDIA-NeMo/Guardrails,50,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,partial,https://github.com/NVIDIA-NeMo/Guardrails/issues/1418
NVIDIA-NeMo/Guardrails,50,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",yes,https://github.com/NVIDIA-NeMo/Guardrails/issues/1700
NVIDIA-NeMo/Guardrails,50,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/NVIDIA-NeMo/Guardrails/issues/1696
guardrails-ai/guardrails,50,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/guardrails-ai/guardrails/issues/1420
guardrails-ai/guardrails,50,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/guardrails-ai/guardrails/issues/1385
guardrails-ai/guardrails,50,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,partial,https://github.com/guardrails-ai/guardrails/issues/1370
guardrails-ai/guardrails,50,install_build_failure,Fresh environment bootstrap or CI image change.,Local build chain or platform prerequisites do not match project assumptions.,"Document platform prerequisites, provide reproducible setup scripts, and prebuilt artifacts.",partial,https://github.com/guardrails-ai/guardrails/issues/1385
EleutherAI/lm-evaluation-harness,30,evaluation_metric_mismatch,Benchmark updates or business KPI changes without metric recalibration.,Metric definition differs from business objective or dataset labeling quality.,Align metric definitions with product KPIs and refresh labeled datasets.,partial,https://github.com/EleutherAI/lm-evaluation-harness/issues/2847
EleutherAI/lm-evaluation-harness,30,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/EleutherAI/lm-evaluation-harness/issues/2847
EleutherAI/lm-evaluation-harness,30,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,partial,https://github.com/EleutherAI/lm-evaluation-harness/issues/2847
EleutherAI/lm-evaluation-harness,30,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/EleutherAI/lm-evaluation-harness/issues/2847
EvolvingLMMs-Lab/lmms-eval,33,evaluation_metric_mismatch,Benchmark updates or business KPI changes without metric recalibration.,Metric definition differs from business objective or dataset labeling quality.,Align metric definitions with product KPIs and refresh labeled datasets.,partial,https://github.com/EvolvingLMMs-Lab/lmms-eval/issues/1242
EvolvingLMMs-Lab/lmms-eval,33,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,yes,https://github.com/EvolvingLMMs-Lab/lmms-eval/issues/1242
EvolvingLMMs-Lab/lmms-eval,33,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,yes,https://github.com/EvolvingLMMs-Lab/lmms-eval/issues/1242
EvolvingLMMs-Lab/lmms-eval,33,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",yes,https://github.com/EvolvingLMMs-Lab/lmms-eval/issues/1242
raga-ai-hub/RagaAI-Catalyst,35,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,yes,https://github.com/raga-ai-hub/RagaAI-Catalyst/issues/250
raga-ai-hub/RagaAI-Catalyst,35,rag_retrieval_quality,"Noisy corpus, poor chunking, or embedding/model mismatch.",Retriever/chunking/embedding strategy is misaligned with query and corpus.,"Tune chunking and rerankers, add retrieval eval set, and monitor context precision/recall.",yes,https://github.com/raga-ai-hub/RagaAI-Catalyst/issues/253
raga-ai-hub/RagaAI-Catalyst,35,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",yes,https://github.com/raga-ai-hub/RagaAI-Catalyst/issues/253
raga-ai-hub/RagaAI-Catalyst,35,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,yes,https://github.com/raga-ai-hub/RagaAI-Catalyst/issues/253
Kiln-AI/Kiln,43,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/Kiln-AI/Kiln/issues/1080
Kiln-AI/Kiln,43,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/Kiln-AI/Kiln/issues/1080
Kiln-AI/Kiln,43,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",yes,https://github.com/Kiln-AI/Kiln/issues/1080
Kiln-AI/Kiln,43,install_build_failure,Fresh environment bootstrap or CI image change.,Local build chain or platform prerequisites do not match project assumptions.,"Document platform prerequisites, provide reproducible setup scripts, and prebuilt artifacts.",partial,https://github.com/Kiln-AI/Kiln/issues/1080
coze-dev/coze-loop,50,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/coze-dev/coze-loop/issues/444
coze-dev/coze-loop,50,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,partial,https://github.com/coze-dev/coze-loop/issues/444
coze-dev/coze-loop,50,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/coze-dev/coze-loop/issues/384
coze-dev/coze-loop,50,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,partial,https://github.com/coze-dev/coze-loop/issues/384
AgentOps-AI/agentops,24,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/AgentOps-AI/agentops/issues/1287
AgentOps-AI/agentops,24,observability_tracing_gap,New runtime/tool path shipped without instrumentation hooks.,Instrumentation coverage is incomplete across gateway/runtime/tool hops.,Enforce trace_id propagation and add span coverage checks in CI.,partial,https://github.com/AgentOps-AI/agentops/issues/1285
AgentOps-AI/agentops,24,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/AgentOps-AI/agentops/issues/1287
AgentOps-AI/agentops,24,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,partial,https://github.com/AgentOps-AI/agentops/issues/1285
braintrustdata/braintrust-sdk-javascript,30,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/braintrustdata/braintrust-sdk-javascript/issues/1502
braintrustdata/braintrust-sdk-javascript,30,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/braintrustdata/braintrust-sdk-javascript/issues/1510
braintrustdata/braintrust-sdk-javascript,30,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,partial,https://github.com/braintrustdata/braintrust-sdk-javascript/issues/1510
braintrustdata/braintrust-sdk-javascript,30,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/braintrustdata/braintrust-sdk-javascript/issues/1479
VoltAgent/voltagent,44,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/VoltAgent/voltagent/issues/1145
VoltAgent/voltagent,44,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",yes,https://github.com/VoltAgent/voltagent/issues/1145
VoltAgent/voltagent,44,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/VoltAgent/voltagent/issues/1140
VoltAgent/voltagent,44,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,yes,https://github.com/VoltAgent/voltagent/issues/1145
JudgmentLabs/judgeval,27,evaluation_metric_mismatch,Benchmark updates or business KPI changes without metric recalibration.,Metric definition differs from business objective or dataset labeling quality.,Align metric definitions with product KPIs and refresh labeled datasets.,partial,https://github.com/JudgmentLabs/judgeval/issues/383
JudgmentLabs/judgeval,27,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,partial,https://github.com/JudgmentLabs/judgeval/issues/383
JudgmentLabs/judgeval,27,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/JudgmentLabs/judgeval/issues/382
JudgmentLabs/judgeval,27,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/JudgmentLabs/judgeval/issues/383
Marker-Inc-Korea/AutoRAG,35,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/Marker-Inc-Korea/AutoRAG/issues/771
Marker-Inc-Korea/AutoRAG,35,rag_retrieval_quality,"Noisy corpus, poor chunking, or embedding/model mismatch.",Retriever/chunking/embedding strategy is misaligned with query and corpus.,"Tune chunking and rerankers, add retrieval eval set, and monitor context precision/recall.",partial,https://github.com/Marker-Inc-Korea/AutoRAG/issues/771
Marker-Inc-Korea/AutoRAG,35,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/Marker-Inc-Korea/AutoRAG/issues/1162
Marker-Inc-Korea/AutoRAG,35,evaluation_metric_mismatch,Benchmark updates or business KPI changes without metric recalibration.,Metric definition differs from business objective or dataset labeling quality.,Align metric definitions with product KPIs and refresh labeled datasets.,partial,https://github.com/Marker-Inc-Korea/AutoRAG/issues/771
google/adk-python,50,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/google/adk-python/issues/4768
google/adk-python,50,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",yes,https://github.com/google/adk-python/issues/4770
google/adk-python,50,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,yes,https://github.com/google/adk-python/issues/4768
google/adk-python,50,install_build_failure,Fresh environment bootstrap or CI image change.,Local build chain or platform prerequisites do not match project assumptions.,"Document platform prerequisites, provide reproducible setup scripts, and prebuilt artifacts.",partial,https://github.com/google/adk-python/issues/4768
microsoft/autogen,50,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/microsoft/autogen/issues/7337
microsoft/autogen,50,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",yes,https://github.com/microsoft/autogen/issues/7337
microsoft/autogen,50,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/microsoft/autogen/issues/7337
microsoft/autogen,50,config_env_secret,Environment promotion with missing keys or inconsistent config.,"Required configuration keys are missing, malformed, or inconsistent by environment.",Provide validated config templates and startup checks for required secrets.,partial,https://github.com/microsoft/autogen/issues/7360
openai/openai-agents-python,30,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/openai/openai-agents-python/issues/2630
openai/openai-agents-python,30,async_concurrency_state,Concurrent agent/tool execution under load.,Shared state or async scheduling introduces non-deterministic behavior.,Isolate mutable state and add deterministic stress tests for async paths.,partial,https://github.com/openai/openai-agents-python/issues/2258
openai/openai-agents-python,30,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/openai/openai-agents-python/issues/2258
openai/openai-agents-python,30,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/openai/openai-agents-python/issues/2574
modelcontextprotocol/modelcontextprotocol,50,docs_example_drift,Users follow outdated README/tutorial steps.,Documentation examples lag behind current code paths and defaults.,Run docs examples in CI and version docs with releases.,partial,https://github.com/modelcontextprotocol/modelcontextprotocol/issues/229
modelcontextprotocol/modelcontextprotocol,50,ui_frontend_runtime,Frontend dependency updates or browser/runtime version change.,Frontend dependency/runtime mismatch causes client-side execution failures.,Pin frontend toolchain versions and add browser/runtime compatibility checks.,partial,https://github.com/modelcontextprotocol/modelcontextprotocol/issues/611
modelcontextprotocol/modelcontextprotocol,50,dependency_version_conflict,Upgrade/downgrade of SDK/framework dependencies during setup or deploy.,Transitive or pinned dependency versions diverge from supported matrix.,"Lock compatible versions, publish support matrix, and add CI matrix tests.",partial,https://github.com/modelcontextprotocol/modelcontextprotocol/issues/834
modelcontextprotocol/modelcontextprotocol,50,install_build_failure,Fresh environment bootstrap or CI image change.,Local build chain or platform prerequisites do not match project assumptions.,"Document platform prerequisites, provide reproducible setup scripts, and prebuilt artifacts.",partial,https://github.com/modelcontextprotocol/modelcontextprotocol/issues/2361
