repo,classification,release_window,breaking_change_or_risk,impact_area,migration_complexity,rollback_suggestion,source_url
Azure/PyRIT,explicit_breaking,2025-12_to_2026-02,Core object model/API refactor: Message replaces SeedPromptGroup; target/auth/config args changed,API|配置,high,Pin v0.10.x and keep compatibility adapters for legacy attack/scorer/target interfaces,https://github.com/Azure/PyRIT/releases/tag/v0.11.0
truera/trulens,explicit_breaking,2026-02,Metric API becomes primary and replaces Feedback/MetricConfig path (deprecated compatibility only),API,medium,Stay on 2.6.x until selector mapping and eval parity tests pass,https://github.com/truera/trulens/releases/tag/trulens-2.7.0
NVIDIA-NeMo/Guardrails,explicit_breaking,2025-11_to_2026-01,Removed streaming config field; reasoning traces moved to dedicated field; Python 3.9 dropped,API|配置|部署,high,Pin v0.19.x and restore old parser/config schema until runtime and config migration completes,https://github.com/NVIDIA-NeMo/Guardrails/releases/tag/v0.20.0
open-telemetry/opentelemetry-collector,explicit_breaking,2026-01_to_2026-02,Minimum Go 1.25 required; deprecated feature gates removed; multiple API/config signature changes,API|配置|部署,high,Hold on v0.145.x and upgrade build images/toolchain before collector bump,https://github.com/open-telemetry/opentelemetry-collector/releases/tag/v0.146.0
open-policy-agent/gatekeeper,explicit_breaking,2025-11_to_2026-02,VAP enforcement scope behavior changes as sync-vap-enforcement-scope defaults to true in v3.22 line,配置|部署,high,Explicitly set current flag behavior and canary policy impact; rollback to v3.21.x if scope drift observed,https://github.com/open-policy-agent/gatekeeper/releases/tag/v3.21.0
semgrep/semgrep,explicit_breaking,2026-01,MCP transport/auth changes: SSE removed and OAuth required for streamableHttp connections,API|配置,medium,Pin v1.148/v1.149 while migrating MCP client transport and OAuth bootstrap,https://github.com/semgrep/semgrep/releases/tag/v1.150.0
open-telemetry/opentelemetry-specification,explicit_breaking,2025-06_to_2026-02,Propagation and telemetry mapping changes: Jaeger/OT Trace propagators deprecated; Prometheus scope metric mapping changed,API|数据|配置,medium,Keep pinned SDK/collector pairing and maintain explicit propagator + translation configs,https://github.com/open-telemetry/opentelemetry-specification/releases/tag/v1.54.0
open-policy-agent/opa,high_risk_not_explicit,2025-03_to_2026-03,Policy/runtime evolution can break strict Rego assumptions in multi-service enforcement chains,API|配置,medium,Version policy bundles and keep last-known-good bundle digest for immediate rollback,https://github.com/open-policy-agent/opa/releases
openfga/openfga,high_risk_not_explicit,2025-03_to_2026-03,Authorization model evolution may require tuple/model migration orchestration,数据|配置,medium,Dual-read/double-write transition with model version pinning,https://github.com/openfga/openfga/releases
authzed/spicedb,high_risk_not_explicit,2025-03_to_2026-03,Permission graph/runtime updates may alter check semantics and latency envelope,API|部署,medium,Rollback with previous image plus datastore snapshot restore,https://github.com/authzed/spicedb/releases
kyverno/kyverno,high_risk_not_explicit,2025-03_to_2026-03,Admission policy default/engine shifts can have cluster-wide enforcement impact,配置|部署,high,Blue-green kyverno rollout with namespace canary and quick revert to prior chart,https://github.com/kyverno/kyverno/releases
guardrails-ai/guardrails,high_risk_not_explicit,2025-03_to_2026-03,Guardrail schema/runtime behavior changes can alter allow/deny outcomes,API|配置,medium,Pin guardrail config version and replay golden prompt corpus before rollout,https://github.com/guardrails-ai/guardrails/releases
superagent-ai/superagent,high_risk_not_explicit,2025-09_to_2026-03,Fast-moving dual release channels (node/rust) create integration and packaging drift risk,API|部署,medium,Pin exact artifact tag and retain previous binary/container in rollback registry,https://github.com/superagent-ai/superagent/releases
aquasecurity/trivy,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,配置,low,Keep minor pin and standard canary scan comparison,https://github.com/aquasecurity/trivy/releases
gitleaks/gitleaks,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,部署,low,Pin previous binary in CI image and compare finding deltas,https://github.com/gitleaks/gitleaks/releases
langfuse/langfuse,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,API|数据,low,Keep DB migration backup and roll back application image with schema compatibility check,https://github.com/langfuse/langfuse/releases
casbin/casbin,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,API,low,Pin prior module version and retain existing model.conf,https://github.com/casbin/casbin/releases
anchore/grype,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,配置|部署,low,Pin scanner version in pipeline and compare vuln diff output,https://github.com/anchore/grype/releases
e2b-dev/E2B,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,API|部署,low,Keep previous sandbox image and snapshot restoration path,https://github.com/e2b-dev/E2B/releases
promptfoo/promptfoo,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,API|配置,low,Pin prior promptfoo CLI and baseline eval config,https://github.com/promptfoo/promptfoo/releases
falcosecurity/falco,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,配置|部署,low,Keep previous ruleset bundle and daemonset image tag,https://github.com/falcosecurity/falco/releases
google/osv-scanner,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,API|配置,low,Pin previous scanner release and keep lockfile-based comparison,https://github.com/google/osv-scanner/releases
anchore/syft,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,数据|部署,low,Pin SBOM generator version and keep previous SPDX/CycloneDX baseline,https://github.com/anchore/syft/releases
Arize-ai/phoenix,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,API|数据,low,Pin previous image and validate trace schema compatibility,https://github.com/Arize-ai/phoenix/releases
NVIDIA/garak,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,API|配置,low,Pin previous garak package and retain benchmark corpus checksum,https://github.com/NVIDIA/garak/releases
alibaba/OpenSandbox,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,部署|配置,low,Rollback to previous runtime image and node resource template,https://github.com/alibaba/OpenSandbox/releases
ory/keto,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,API|数据,low,Rollback service image and keep relation tuple export for restore,https://github.com/ory/keto/releases
Giskard-AI/giskard,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,API|配置,low,Pin giskard version and keep existing evaluation notebooks locked,https://github.com/Giskard-AI/giskard/releases
sigstore/cosign,no_clear_breaking,2025-03_to_2026-03,No explicit breaking change identified from release summaries in scope,部署|配置,low,Keep previous cosign binary in release pipeline and verify fallback keyless flow,https://github.com/sigstore/cosign/releases
protectai/llm-guard,no_clear_breaking,2025-03_to_2026-03,No GitHub Releases entries available in scope; no explicit breaking signal from release channel,API|配置,low,Pin commit/tag currently in production and monitor changelog/commits before bump,https://github.com/protectai/llm-guard/releases
modelcontextprotocol/typescript-sdk,high_risk_not_explicit,2025-03_to_2026-03,Protocol and contract evolution can break client/server tool interoperability if versions drift,API|配置,medium,Pin sdk+server compatibility pair and rollback both together on schema validation failure,https://github.com/modelcontextprotocol/typescript-sdk/releases
BerriAI/litellm,high_risk_not_explicit,2025-03_to_2026-03,Provider API and proxy behavior changes can degrade route stability and fallback correctness,API|配置|部署,medium,Rollback gateway image and routing policy bundle to last passing release,https://github.com/BerriAI/litellm/releases
qdrant/qdrant,high_risk_not_explicit,2025-03_to_2026-03,Index/search behavior or storage format changes may alter recall and latency envelopes,数据|部署,medium,Restore prior snapshot and pin previous qdrant minor until recall baseline recovers,https://github.com/qdrant/qdrant/releases
modelcontextprotocol/servers,high_risk_not_explicit,2026-03,Ecosystem expansion speed can outpace compatibility governance across MCP clients and servers,API|配置|部署,medium,Rollback both MCP server image and paired client SDK minor as an atomic unit,https://github.com/modelcontextprotocol/servers/issues
langchain-ai/langgraph,high_risk_not_explicit,2026-03,Fast release cadence is safe only if regression gates and canary checks are enforced,API|部署,medium,Disable newly introduced runtime toggles and revert to prior minor on canary failure,https://github.com/langchain-ai/langgraph/releases
openai/openai-agents-python,high_risk_not_explicit,2026-03,Nested handoff/history behavior can create parsing and state consistency regressions,API|数据,medium,Revert SDK minor and disable nested handoff-history path until regression fix validated,https://github.com/openai/openai-agents-python/issues/2258
