repo,relevance,category,stars_estimate,pushed_at_estimate,license,state_management,persistence,multi_agent,human_in_loop,observability,production_signal,demo_risk,why,url
langchain-ai/langchain,Strong,Core framework,128720,2026-03-09,MIT,Medium,Medium,Medium,Medium,Medium,High,Low,"Agent engineering baseline with broad ecosystem and sustained updates.",https://api.github.com/repos/langchain-ai/langchain
langchain-ai/langgraph,Strong,Graph orchestration,25936,2026-03-09,MIT,High,High,High,Medium,Medium,High,Low,"Explicit graph/state machine orchestration and durable workflow patterns.",https://api.github.com/repos/langchain-ai/langgraph
microsoft/autogen,Strong,Multi-agent framework,55346,2026-03-05,CC-BY-4.0,High,Medium,High,Medium,Medium,High,Low,"Mature multi-agent communication and role-based collaboration primitives.",https://api.github.com/repos/microsoft/autogen
crewAIInc/crewAI,Strong,Role-based orchestration,45553,2026-03-09,MIT,Medium,Medium,High,Medium,Medium,High,Low,"Production-oriented role/task orchestration with large user base.",https://api.github.com/repos/crewAIInc/crewAI
deepset-ai/haystack,Strong,Pipeline orchestration,24435,2026-03-08,Apache-2.0,High,High,Medium,Medium,Medium,High,Low,"Modular production pipelines for retrieval/routing/agent workflows.",https://api.github.com/repos/deepset-ai/haystack
run-llama/llama_index,Strong,Agent+RAG framework,47503,2026-03-06,MIT,Medium,High,Medium,Medium,Medium,High,Low,"Strong document-agent and workflow support with enterprise adoption.",https://api.github.com/repos/run-llama/llama_index
langgenius/dify,Strong,Agent workflow platform,131706,2026-03-09,NOASSERTION,Medium,Medium,Medium,High,High,High,Low,"Production-ready low-code agent workflow platform at large scale.",https://api.github.com/repos/langgenius/dify
microsoft/agent-framework,Strong,Agent runtime/framework,7744,2026-03-09,MIT,High,Medium,High,Medium,Medium,High,Medium,"Official cross-language framework emphasizing orchestration and deployment.",https://api.github.com/repos/microsoft/agent-framework
openai/openai-agents-python,Strong,Agent SDK,19449,2026-03-09,MIT,Medium,Medium,High,Medium,Medium,High,Medium,"Lightweight but robust agent workflow SDK with fast iteration.",https://api.github.com/repos/openai/openai-agents-python
FoundationAgents/MetaGPT,Strong,Multi-agent framework,64896,2026-01-21,MIT,Medium,Medium,High,Low,Low,Medium,Medium,"Influential multi-agent architecture reference for software-task decomposition.",https://api.github.com/repos/FoundationAgents/MetaGPT
mastra-ai/mastra,Strong,TypeScript agent framework,21820,2026-03-09,NOASSERTION,High,Medium,High,Medium,Medium,High,Medium,"Modern TS-native orchestration with workflows, tools, and MCP hooks.",https://api.github.com/repos/mastra-ai/mastra
bytedance/deer-flow,Strong,Super-agent harness,26230,2026-03-09,MIT,High,High,High,Medium,Medium,High,Medium,"Long-horizon task harness with subagents, memory, and sandbox patterns.",https://api.github.com/repos/bytedance/deer-flow
modelcontextprotocol/servers,Strong,Tool protocol ecosystem,80568,2026-03-07,NOASSERTION,Low,Low,Low,Low,Low,High,Medium,"Critical for orchestration interoperability via MCP server standards.",https://api.github.com/repos/modelcontextprotocol/servers
modelcontextprotocol/python-sdk,Strong,Protocol SDK,22038,2026-03-09,MIT,Low,Low,Low,Low,Low,High,Low,"Python reference for MCP client/server integration into orchestrators.",https://api.github.com/repos/modelcontextprotocol/python-sdk
VoltAgent/voltagent,Strong,Agent engineering platform,6549,2026-03-06,MIT,Medium,Medium,High,Medium,High,Medium,Medium,"Combines framework + observability, useful for platform-style orchestration.",https://api.github.com/repos/VoltAgent/voltagent
openai/swarm,Strong,Educational orchestration core,21107,2025-03-11,MIT,Medium,Low,High,Medium,Low,Medium,Medium,"Simple multi-agent handoff model clarifies orchestration minimal core.",https://api.github.com/repos/openai/swarm
AgentOps-AI/agentops,Medium,Observability layer,5346,2025-10-30,MIT,Low,Low,Medium,Low,High,Medium,Low,"Cross-framework agent telemetry/cost tracking for production operations.",https://api.github.com/repos/AgentOps-AI/agentops
langfuse/langfuse,Medium,LLM observability,22864,2026-03-08,NOASSERTION,Low,Low,Low,Low,High,High,Low,"Trace/eval platform supporting agent workflow quality control.",https://api.github.com/repos/langfuse/langfuse
raga-ai-hub/RagaAI-Catalyst,Medium,Agent observability/eval,16107,2026-02-11,Apache-2.0,Low,Low,Medium,Low,High,Medium,Low,"Focused multi-agent tracing and debugging signals for production readiness.",https://api.github.com/repos/raga-ai-hub/RagaAI-Catalyst
openlit/openlit,Medium,OpenTelemetry observability,2263,2026-03-06,Apache-2.0,Low,Low,Low,Low,High,Medium,Low,"OTel-native stack integrates with major agent frameworks.",https://api.github.com/repos/openlit/openlit
tensorzero/tensorzero,Medium,Gateway+optimization stack,11060,2026-03-09,Apache-2.0,Medium,Medium,Low,Low,High,Medium,Medium,"Adds experiment/eval controls around LLM runtime orchestration.",https://api.github.com/repos/tensorzero/tensorzero
run-llama/llama_deploy,Medium,Workflow deployment runtime,2075,2026-02-14,MIT,Medium,High,Medium,Low,Medium,Medium,Medium,"Production deployment substrate for agentic workflows.",https://api.github.com/repos/run-llama/llama_deploy
run-llama/LlamaIndexTS,Medium,TS framework variant,3067,2026-03-03,MIT,Medium,Medium,Medium,Low,Medium,Medium,Medium,"TypeScript-side orchestration/data integration for polyglot teams.",https://api.github.com/repos/run-llama/LlamaIndexTS
LazyAGI/LazyLLM,Medium,Multi-agent framework,3741,2026-03-09,Apache-2.0,Medium,Medium,High,Low,Low,Medium,Medium,"Alternative orchestration abstractions with active development.",https://api.github.com/repos/LazyAGI/LazyLLM
Agent-Field/agentfield,Medium,Agent backend framework,863,2026-03-09,Apache-2.0,High,Medium,High,Medium,High,Medium,Medium,"Microservice-like agent backend model with identity and scaling focus.",https://api.github.com/repos/Agent-Field/agentfield
agentscope-ai/agentscope-runtime,Medium,Agent runtime platform,547,2026-02-27,Apache-2.0,High,Medium,High,Medium,High,Medium,Medium,"Runtime emphasis: sandboxing, service APIs, deployment and observability.",https://api.github.com/repos/agentscope-ai/agentscope-runtime
golf-mcp/golf,Medium,MCP server framework,813,2026-01-31,Apache-2.0,Low,Low,Low,Low,High,Medium,Medium,"Production MCP infrastructure complements orchestration control planes.",https://api.github.com/repos/golf-mcp/golf
tadata-org/fastapi_mcp,Medium,API-to-tool bridge,11631,2025-11-24,MIT,Low,Low,Low,Low,Medium,Medium,Low,"Fast path to expose internal APIs as tools for orchestrators.",https://api.github.com/repos/tadata-org/fastapi_mcp
mark3labs/mcp-go,Medium,Go protocol SDK,8299,2026-03-09,MIT,Low,Low,Low,Low,Low,Medium,Low,"Enables polyglot orchestration stacks via Go MCP implementations.",https://api.github.com/repos/mark3labs/mcp-go
lastmile-ai/mcp-agent,Medium,MCP-native agent patterns,8088,2026-01-25,Apache-2.0,Medium,Medium,Medium,Low,Low,Medium,Medium,"Useful lightweight workflow patterns layered on MCP.",https://api.github.com/repos/lastmile-ai/mcp-agent
browser-use/browser-use,Medium,Execution adapter,79974,2026-03-09,MIT,Low,Low,Low,Low,Medium,High,Medium,"Browser actuator layer is key downstream component for orchestrators.",https://api.github.com/repos/browser-use/browser-use
OpenHands/OpenHands,Medium,Coding-agent runtime,68791,2026-03-09,NOASSERTION,Medium,Medium,Medium,High,Medium,High,Medium,"End-to-end agent runtime patterns including human checkpoints.",https://api.github.com/repos/OpenHands/OpenHands
mem0ai/mem0,Medium,Memory subsystem,49125,2026-03-09,Apache-2.0,Low,High,Low,Low,Low,High,Low,"Decoupled memory service is crucial adjunct to orchestration layers.",https://api.github.com/repos/mem0ai/mem0
letta-ai/letta,Medium,Stateful agent platform,21470,2026-03-04,Apache-2.0,High,High,Medium,Medium,Medium,Medium,Medium,"Stateful memory lifecycle patterns complement orchestration decisions.",https://api.github.com/repos/letta-ai/letta
InternLM/MindSearch,Medium,Task-specific multi-agent,6789,2025-07-04,Apache-2.0,Medium,Low,High,Low,Low,Medium,Medium,"Domain-focused multi-agent orchestration for search-style reasoning.",https://api.github.com/repos/InternLM/MindSearch
TauricResearch/TradingAgents,Medium,Domain multi-agent,31636,2026-02-25,Apache-2.0,Medium,Low,High,Low,Low,Medium,Medium,"Vertical framework shows collaboration and routing patterns under constraints.",https://api.github.com/repos/TauricResearch/TradingAgents
crewAIInc/crewAI-examples,Weak,Examples/tutorials,5622,2026-03-06,Unknown,Low,Low,Medium,Low,Low,Low,High,"Helpful for onboarding but mostly demonstration assets.",https://api.github.com/repos/crewAIInc/crewAI-examples
NirDiamant/GenAI_Agents,Weak,Tutorial notebook collection,20378,2026-02-17,NOASSERTION,Low,Low,Medium,Low,Low,Low,High,"Great survey content but not production runtime.",https://api.github.com/repos/NirDiamant/GenAI_Agents
victordibia/autogen-ui,Weak,Community UI wrapper,990,2024-11-14,MIT,Low,Low,Low,Medium,Low,Low,High,"UI shell for demos and experiments, limited runtime depth.",https://api.github.com/repos/victordibia/autogen-ui
microsoft/spec-to-agents,Weak,Reference sample,81,2026-02-16,MIT,Medium,Low,High,Low,Low,Low,High,"Shows patterns bridging frameworks but sample-grade scope.",https://api.github.com/repos/microsoft/spec-to-agents
Azure/gpt-rag-orchestrator,Weak,Template/sample orchestrator,79,2026-03-06,MIT,Medium,Medium,Medium,Low,Low,Low,High,"Useful architecture sample, less evidence of broad production hardening.",https://api.github.com/repos/Azure/gpt-rag-orchestrator
coleam00/PydanticAI-Research-Agent,Weak,Single-agent demo,129,2025-11-17,Unknown,Low,Low,Low,Low,Low,Low,High,"Educational project centered on one research-agent implementation.",https://api.github.com/repos/coleam00/PydanticAI-Research-Agent
ababdotai/awesome-agent-quickstart,Weak,Quickstart aggregation,Unknown,Unknown,Unknown,Low,Low,Medium,Low,Low,Low,High,"Starter examples across frameworks; low direct production signal.",https://api.github.com/repos/ababdotai/awesome-agent-quickstart
wjayesh/mahilo,Weak,HITL-focused framework,470,2025-04-02,NOASSERTION,Medium,Low,High,High,Low,Low,High,"Interesting HITL idea but limited momentum and ecosystem depth.",https://api.github.com/repos/wjayesh/mahilo
vstorm-co/full-stack-ai-agent-template,Weak,Boilerplate/template,614,2026-03-07,MIT,Medium,Medium,Medium,High,High,Low,High,"Production-style template, but still starter scaffold rather than framework core.",https://api.github.com/repos/vstorm-co/full-stack-ai-agent-template
humanlayer/12-factor-agents,Weak,Principles/doc-driven,18603,2025-09-21,NOASSERTION,Low,Low,Low,High,Low,Low,High,"High-value methodology repo, but not a runtime orchestration engine.",https://api.github.com/repos/humanlayer/12-factor-agents
